date,open,high,low,close,volume,申万一级,债券代码,债券简称,symbol
2021-08-20,131.5,132.39,126.01,129.16,14449870,电子,110081,闻泰转债,sh110081
2021-08-23,128.53,136.75,128.53,134.14,59794270,电子,110081,闻泰转债,sh110081
2021-08-24,134.14,143.08,134.0,140.22,17472890,电子,110081,闻泰转债,sh110081
2021-08-25,141.0,144.77,141.0,143.84,9776700,电子,110081,闻泰转债,sh110081
2021-08-26,143.8,145.0,139.7,140.5,6503940,电子,110081,闻泰转债,sh110081
2021-08-27,140.37,145.36,140.0,143.01,7874380,电子,110081,闻泰转债,sh110081
2021-08-30,141.88,157.5,140.95,150.71,14111970,电子,110081,闻泰转债,sh110081
2021-08-31,152.34,152.45,146.45,148.66,8442530,电子,110081,闻泰转债,sh110081
2021-09-01,149.01,151.88,144.0,148.99,5457110,电子,110081,闻泰转债,sh110081
2021-09-02,148.82,150.3,147.26,147.86,4324000,电子,110081,闻泰转债,sh110081
2021-09-03,147.93,151.75,146.97,147.85,4097430,电子,110081,闻泰转债,sh110081
2021-09-06,148.15,149.0,146.1,148.17,2693370,电子,110081,闻泰转债,sh110081
2021-09-07,148.5,150.24,147.66,149.16,2888200,电子,110081,闻泰转债,sh110081
2021-09-08,149.32,150.5,144.03,145.12,3845990,电子,110081,闻泰转债,sh110081
2021-09-09,145.13,146.88,144.01,144.51,3158100,电子,110081,闻泰转债,sh110081
2021-09-10,144.46,146.46,142.8,143.82,3368350,电子,110081,闻泰转债,sh110081
2021-09-13,144.2,144.29,140.2,140.52,2055450,电子,110081,闻泰转债,sh110081
2021-09-14,140.5,141.04,138.1,138.87,1913780,电子,110081,闻泰转债,sh110081
2021-09-15,139.1,139.36,133.88,136.89,4179880,电子,110081,闻泰转债,sh110081
2021-09-16,136.27,138.6,131.99,132.06,2197380,电子,110081,闻泰转债,sh110081
2021-09-17,133.0,134.41,129.66,131.28,2829820,电子,110081,闻泰转债,sh110081
2021-09-22,131.01,133.09,130.81,131.93,1247070,电子,110081,闻泰转债,sh110081
2021-09-23,132.54,135.9,132.42,133.65,3919330,电子,110081,闻泰转债,sh110081
2021-09-24,133.66,135.38,132.86,132.98,1854920,电子,110081,闻泰转债,sh110081
2021-09-27,133.5,134.8,133.05,133.7,2022960,电子,110081,闻泰转债,sh110081
2021-09-28,133.7,134.19,131.78,132.51,1143610,电子,110081,闻泰转债,sh110081
2021-09-29,132.06,132.24,128.0,128.2,1718000,电子,110081,闻泰转债,sh110081
2021-09-30,128.2,131.44,128.15,130.77,1617790,电子,110081,闻泰转债,sh110081
2021-10-08,131.81,134.4,131.81,132.58,1275070,电子,110081,闻泰转债,sh110081
2021-10-11,132.55,135.0,132.5,133.41,1701760,电子,110081,闻泰转债,sh110081
2021-10-12,133.35,134.11,128.7,130.23,1434630,电子,110081,闻泰转债,sh110081
2021-10-13,130.22,131.19,128.8,129.82,1174090,电子,110081,闻泰转债,sh110081
2021-10-14,129.98,130.69,129.63,129.93,1600090,电子,110081,闻泰转债,sh110081
2021-10-15,130.0,134.36,129.66,132.87,1956180,电子,110081,闻泰转债,sh110081
2021-10-18,132.76,134.26,132.11,133.77,948420,电子,110081,闻泰转债,sh110081
2021-10-19,133.7,137.3,133.52,135.68,1913890,电子,110081,闻泰转债,sh110081
2021-10-20,136.2,137.15,135.02,135.65,740410,电子,110081,闻泰转债,sh110081
2021-10-21,135.71,136.6,133.96,134.12,433650,电子,110081,闻泰转债,sh110081
2021-10-22,134.5,136.0,132.95,132.99,1213300,电子,110081,闻泰转债,sh110081
2021-10-25,134.12,135.11,133.3,134.51,1196240,电子,110081,闻泰转债,sh110081
2021-10-26,134.51,134.93,133.0,133.41,1023710,电子,110081,闻泰转债,sh110081
2021-10-27,137.0,140.5,134.86,135.79,2537480,电子,110081,闻泰转债,sh110081
2021-10-28,135.99,140.0,135.38,136.01,2799060,电子,110081,闻泰转债,sh110081
2021-10-29,136.05,139.56,135.39,139.51,2301320,电子,110081,闻泰转债,sh110081
2021-11-01,142.0,145.58,141.99,145.0,4907970,电子,110081,闻泰转债,sh110081
2021-11-02,144.86,148.54,143.31,144.97,3285830,电子,110081,闻泰转债,sh110081
2021-11-03,147.19,148.5,142.49,143.9,1962480,电子,110081,闻泰转债,sh110081
2021-11-04,143.7,146.5,143.54,145.86,1788220,电子,110081,闻泰转债,sh110081
2021-11-05,147.0,149.68,145.01,147.0,1887660,电子,110081,闻泰转债,sh110081
2021-11-08,147.1,148.47,146.55,146.74,1127930,电子,110081,闻泰转债,sh110081
2021-11-09,146.6,148.35,145.82,147.62,1869140,电子,110081,闻泰转债,sh110081
2021-11-10,147.6,148.0,146.0,147.01,1240880,电子,110081,闻泰转债,sh110081
2021-11-11,146.85,150.92,146.85,149.82,2918750,电子,110081,闻泰转债,sh110081
2021-11-12,149.6,151.41,149.6,151.09,2323370,电子,110081,闻泰转债,sh110081
2021-11-15,150.9,153.2,147.92,148.53,1579020,电子,110081,闻泰转债,sh110081
2021-11-16,148.53,149.63,146.2,147.15,1722200,电子,110081,闻泰转债,sh110081
2021-11-17,147.42,147.59,144.92,146.58,1205770,电子,110081,闻泰转债,sh110081
2021-11-18,146.53,147.59,145.53,145.98,963550,电子,110081,闻泰转债,sh110081
2021-11-19,146.29,147.2,145.0,145.94,1070410,电子,110081,闻泰转债,sh110081
2021-11-22,145.91,151.7,145.8,148.21,4217040,电子,110081,闻泰转债,sh110081
2021-11-23,148.21,149.37,147.31,148.16,1266780,电子,110081,闻泰转债,sh110081
2021-11-24,148.8,151.8,148.67,151.3,2359430,电子,110081,闻泰转债,sh110081
2021-11-25,151.31,153.35,150.53,150.82,1015840,电子,110081,闻泰转债,sh110081
2021-11-26,150.7,151.55,149.54,150.83,777670,电子,110081,闻泰转债,sh110081
2021-11-29,150.65,154.86,148.53,154.11,2190460,电子,110081,闻泰转债,sh110081
2021-11-30,155.0,156.69,152.57,154.96,1550270,电子,110081,闻泰转债,sh110081
2021-12-01,157.0,158.46,155.25,158.1,2396440,电子,110081,闻泰转债,sh110081
2021-12-02,158.15,160.6,156.84,158.21,2278900,电子,110081,闻泰转债,sh110081
2021-12-03,158.3,169.89,158.21,163.46,8245960,电子,110081,闻泰转债,sh110081
2021-12-06,163.33,164.0,159.54,160.16,2322450,电子,110081,闻泰转债,sh110081
2021-12-07,160.01,161.98,152.13,154.13,3091350,电子,110081,闻泰转债,sh110081
2021-12-08,154.13,159.86,153.69,159.22,2759700,电子,110081,闻泰转债,sh110081
2021-12-09,159.22,164.5,158.68,159.31,3401230,电子,110081,闻泰转债,sh110081
2021-12-10,158.0,160.64,157.77,160.32,1514870,电子,110081,闻泰转债,sh110081
2021-12-13,161.01,165.6,160.21,161.08,2606020,电子,110081,闻泰转债,sh110081
2021-12-14,161.14,165.8,159.85,163.98,3103450,电子,110081,闻泰转债,sh110081
